year,gdp,total_population,inequality_measure,control_of_corruption,rule_of_law,government_effectiveness,political_stability,voice_and_accountability,regulatory_quality,attacks,log_attacks
2007,7.137550165,615875.0,0.337,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.6569999999999999,0.4963422870542636,1.0,0.6931471805599453
2008,6.898600309,616969.0,0.348,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.643,0.4963422870542636,0.0,0.0
2009,-5.994448625,618294.0,0.3487,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.643,0.4963422870542636,0.0,0.0
2010,2.775597825,619428.0,0.3535,0.125,0.475,0.25,0.5625,0.6256667,0.5,0.0,0.0
2011,3.409788125,620345.0,0.3597,0.125,0.475,0.25,0.5625,0.6216667,0.5,0.0,0.0
2012,-2.48732883,621418.0,0.3622,0.125,0.475,0.25,0.5625,0.6183333,0.5,0.0,0.0
2012,-2.48732883,621418.0,0.3622,0.125,0.475,0.25,0.5625,0.6183333,0.5,0.0,0.0
2013,3.386125485,622587.0,0.356,0.125,0.475,0.25,0.5625,0.6146667,0.5,2.0,1.0986122886681098
2013,3.386125485,622587.0,0.356,0.125,0.475,0.25,0.5625,0.6146667,0.5,2.0,1.0986122886681098
2014,2.370308925,623744.0,0.351,0.125,0.475,0.25,0.625,0.6146667,0.5,0.0,0.0
2014,2.370308925,623744.0,0.351,0.125,0.475,0.25,0.625,0.6146667,0.5,0.0,0.0
2015,2.52306334,624651.0,0.3768,0.125,0.475,0.25,0.5625,0.617,0.5357143,1.0,0.6931471805599453
2016,3.439305621,625353.0,0.3694,0.125,0.475,0.25,0.5625,0.6073333,0.5357143,0.0,0.0
2017,3.216685047,625982.0,0.35,0.125,0.475,0.25,0.5625,0.6063333,0.5714286,0.0,0.0
2018,4.732921134,626438.0,0.354,0.125,0.525,0.25,0.625,0.608,0.5714286,3.0,1.3862943611198906
2019,4.393915658,626753.0,0.3509,0.125,0.525,0.25,0.625,0.605,0.5714286,0.0,0.0
2020,-14.9926187,626590.0,0.3507,0.125,0.525,0.25,0.5625,0.609,0.5714286,0.0,0.0
2021,3.4299037889400164,30500997.4950762,0.452997313900265,0.25,0.525,0.25,0.4375,0.6173333,0.5714286,38.41653072321914,3.6741852898155956
2022,3.4299037889400164,30500997.4950762,0.452997313900265,0.25,0.525,0.25,0.4375,0.6316667,0.5714286,38.41653072321914,3.6741852898155956
2023,3.4299037889400164,30500997.4950762,0.452997313900265,0.25,0.525,0.25,0.5,0.639,0.5714286,38.41653072321914,3.6741852898155956
2024,3.4299037889400164,30500997.4950762,0.452997313900265,0.25,0.525,0.25,0.5625,0.641,0.5714286,38.41653072321914,3.6741852898155956
1970,4.713460375,15129449.0,0.6447,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1971,5.59689366,15527225.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1972,2.437237347,15924692.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1973,3.559310832,16326269.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,2.0,1.0986122886681098
1974,5.596049944,16733842.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1975,7.558221561,17150786.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1976,10.81278134,17574182.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,1.0,0.6931471805599453
1977,6.059167679,18014756.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1978,2.232663389,18477385.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,1.0,0.6931471805599453
1979,4.793787205,18955589.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,2.0,1.0986122886681098
1980,3.642164813,19459943.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1981,-1.743434931,19985401.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1982,8.957372023,20520318.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1983,1.386569577,21060696.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1984,6.418386321,21593778.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1985,6.007652071,22113953.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,2.0,1.0986122886681098
1986,9.271105769,22600803.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,2.0,1.0986122886681098
1987,-0.325004076,23054392.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,4.0,1.6094379124341003
1988,11.87523598,23500524.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1989,2.846202581,23939414.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1990,3.411812226,24375551.0,0.4758,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
